Report: Monte Carlo Approximation of Pi


Trial		Approx				Error				
64		3.1384				-0.00319265358979				
65		3.14				-0.00159265358979				
66		3.1344				-0.00719265358979				
67		3.1276				-0.0139926535898				
68		3.1604				0.0188073464102				
69		3.164				0.0224073464102				
70		3.1368				-0.00479265358979				
71		3.1392				-0.00239265358979				
72		3.1396				-0.00199265358979				
73		3.108				-0.0335926535898				
74		3.1628				0.0212073464102				
75		3.118				-0.0235926535898				
76		3.164				0.0224073464102				
77		3.1984				0.0568073464102				
78		3.1528				0.0112073464102				
79		3.1488				0.00720734641021				
80		3.1376				-0.00399265358979				
81		3.1396				-0.00199265358979				
82		3.1464				0.00480734641021				
83		3.1164				-0.0251926535898				
84		3.1248				-0.0167926535898				
85		3.1008				-0.0407926535898				
86		3.1528				0.0112073464102				
87		3.152				0.0104073464102				
88		3.132				-0.00959265358979				
89		3.1484				0.00680734641021				
90		3.1448				0.00320734641021				
91		3.1376				-0.00399265358979				
92		3.1468				0.00520734641021				
93		3.1384				-0.00319265358979				
94		3.146				0.00440734641021				
95		3.116				-0.0255926535898				
96		3.1288				-0.0127926535898				
97		3.1576				0.0160073464102				
98		3.13				-0.0115926535898				
99		3.1464				0.00480734641021				
100		3.1248				-0.0167926535898				
101		3.1108				-0.0307926535898				
102		3.148				0.00640734641021				
103		3.0984				-0.0431926535898				
104		3.1536				0.0120073464102				
105		3.1632				0.0216073464102				
106		3.1196				-0.0219926535898				
107		3.168				0.0264073464102				
108		3.124				-0.0175926535898				
109		3.1304				-0.0111926535898				
110		3.1624				0.0208073464102				
111		3.144				0.00240734641021				
112		3.14				-0.00159265358979				
113		3.1344				-0.00719265358979				
114		3.1404				-0.00119265358979				
115		3.1264				-0.0151926535898				
116		3.1508				0.00920734641021				
117		3.1252				-0.0163926535898				
118		3.1528				0.0112073464102				
119		3.1212				-0.0203926535898				
120		3.1444				0.00280734641021				
121		3.1164				-0.0251926535898				
122		3.1368				-0.00479265358979				
123		3.1436				0.00200734641021				
124		3.1348				-0.00679265358979				
125		3.1372				-0.00439265358979				
126		3.1384				-0.00319265358979				
127		3.146				0.00440734641021				
128		3.1608				0.0192073464102				
129		3.1176				-0.0239926535898				
130		3.1204				-0.0211926535898				
131		3.1408				-0.000792653589793				
132		3.1624				0.0208073464102				
133		3.1544				0.0128073464102				
134		3.154				0.0124073464102				
135		3.1372				-0.00439265358979				
136		3.1508				0.00920734641021				
137		3.148				0.00640734641021				
138		3.1404				-0.00119265358979				
139		3.1376				-0.00399265358979				
140		3.1456				0.00400734641021				
141		3.146				0.00440734641021				
142		3.1456				0.00400734641021				
143		3.1208				-0.0207926535898				
144		3.1288				-0.0127926535898				
145		3.1128				-0.0287926535898				
146		3.1564				0.0148073464102				
147		3.15				0.00840734641021				
148		3.1316				-0.00999265358979				
149		3.1352				-0.00639265358979				
150		3.1424				0.000807346410207				
151		3.1192				-0.0223926535898				
152		3.1212				-0.0203926535898				
153		3.1304				-0.0111926535898				
154		3.1264				-0.0151926535898				
155		3.1548				0.0132073464102				
156		3.14				-0.00159265358979				
157		3.1368				-0.00479265358979				
158		3.1252				-0.0163926535898				
159		3.1708				0.0292073464102				
160		3.1468				0.00520734641021				
161		3.1568				0.0152073464102				
162		3.1476				0.00600734641021				
163		3.1428				0.00120734641021				
164		3.1696				0.0280073464102				
165		3.1356				-0.00599265358979				
166		3.118				-0.0235926535898				
167		3.1424				0.000807346410207				
168		3.1288				-0.0127926535898				
169		3.134				-0.00759265358979				
170		3.1584				0.0168073464102				
171		3.1316				-0.00999265358979				
172		3.1348				-0.00679265358979				
173		3.1192				-0.0223926535898				
174		3.158				0.0164073464102				
175		3.1408				-0.000792653589793				
176		3.156				0.0144073464102				
177		3.1412				-0.000392653589793				
178		3.1284				-0.0131926535898				
179		3.1476				0.00600734641021				
180		3.1508				0.00920734641021				
181		3.1312				-0.0103926535898				
182		3.1424				0.000807346410207				
183		3.1716				0.0300073464102				
184		3.122				-0.0195926535898				
185		3.1316				-0.00999265358979				
186		3.1728				0.0312073464102				
187		3.1592				0.0176073464102				
188		3.1668				0.0252073464102				
189		3.1544				0.0128073464102				
190		3.114				-0.0275926535898				
191		3.1232				-0.0183926535898				
192		3.1404				-0.00119265358979				
193		3.1268				-0.0147926535898				
194		3.1436				0.00200734641021				
195		3.1528				0.0112073464102				
196		3.1524				0.0108073464102				
197		3.1152				-0.0263926535898				
198		3.1536				0.0120073464102				
199		3.1656				0.0240073464102				
200		3.166				0.0244073464102				
201		3.116				-0.0255926535898				
202		3.1472				0.00560734641021				
203		3.1508				0.00920734641021				
204		3.1508				0.00920734641021				
205		3.1332				-0.00839265358979				
206		3.1368				-0.00479265358979				
207		3.1172				-0.0243926535898				
208		3.1464				0.00480734641021				
209		3.1384				-0.00319265358979				
210		3.118				-0.0235926535898				
211		3.1564				0.0148073464102				
212		3.1348				-0.00679265358979				
213		3.1316				-0.00999265358979				
214		3.1356				-0.00599265358979				
215		3.136				-0.00559265358979				
216		3.1312				-0.0103926535898				
217		3.1348				-0.00679265358979				
218		3.1512				0.00960734641021				
219		3.1536				0.0120073464102				
220		3.1036				-0.0379926535898				
221		3.1632				0.0216073464102				
222		3.1272				-0.0143926535898				
223		3.1452				0.00360734641021				
